Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Author
"""He hasn’t shown any interest in doing the work or helping anybody but himself and his friends, or treating the presidency like a reality show that he can use to get attention,” Obama said. https://t.co/EWoMN99zjj",22/10/2020 10:02,en,,7,1,,Enquirer,Pulitzer Prize-winning local journalism brought to you by https://t.co/mDBCcYYlHL. We're not the @NatEnquirer.,171567,5159,265,146846,1661,TRUE,@Enquirer
"""House GOP wants to investigate Joe Biden’s use of chartered Amtrak train on campaign trail""  https://t.co/Pmj7pUbJiv Republicans have never been  more desperate. They must know they are going to lose. #BidenHarris2020Landslide #BlueTsunami2020",22/10/2020 10:00,en,,0,0,,PoliticalAnt🐜(a.k.a. @JazzLuvnAnt🎷)🔥😷🌹🇺🇸,"Progressive Indie. Backup: @JazzLuvnAnt🎷#BlackLivesMatter Please vote #BidenHarris2020🌊 in swing states, & #HawkinsWalker2020 🌻 elsewhere. Thanks, if you do.",446416,129682,9040,15723,445,FALSE,@PoliticalAnt
"""I don't care about the polls. There were a whole bunch of polls last time. Didn't work out. Because a whole bunch of folks stayed at home. And got lazy and complacent. Not this time. Not in this election. Not this time""
https://t.co/4p3HjScIPl",22/10/2020 10:09,en,,5,3,,Indivisible Network,"We are working hard everyday to build a bigger BLUE WAVE in 2020

Join the fight to end this corrupt administration and the Republican Do Nothing Senate",32106,44078,53600,72216,242,FALSE,@IndivisibleNet
"""I don’t have a political ax to grind; I just saw behind the Biden curtain &amp; I grew concerned... The B family aggressively leveraged the Biden family name to make millions from foreign entities even though some were from communist China,"" - insider, Bobulinski.

#DrainTheSwamp",22/10/2020 9:59,en,,0,0,,Nicholas Novella,"Christian, Author",380,228,49,18,0,FALSE,@NovellaNicholas
"""I don’t just want Biden to win. I want Trump to lose. I want him embarrassed. Humiliated. Destroyed. Winning is not enough."" https://t.co/FJMXcnMoeD",22/10/2020 9:51,en,,5,1,,Warren Mason 🌊🌊🌊,"Social Activist, Truth Seeker, Freelance + Op-ed #Writer,  Paying it forward. #Resist #TheResistance #FBR - 'Live, love + laugh with passion'",23155,53993,6122,6616,81,FALSE,@WarrenMason
"""If Trump Loses, What's Next for America?"" 
Join @SamanthaJPower and @CassSunstein in conversation TONIGHT at 8pm @tcddublin, Regent House

Organised by @TCDLawSchool and @TRiSSTCD and @legalscholars. 

https://t.co/ZuIZwH0idf
https://t.co/64LRUMT5U0
https://t.co/L9WFSdB1lu",22/10/2020 10:07,en,,1,0,,Trinity College Law School Speaker Series,"Leading Authors in Conversation with Dr. Donna Lyons at Trinity College Dublin School of Law
https://t.co/nAXoaIqVux",73,60,691,354,0,FALSE,@TrinitySpeakers
"""Joe Biden will not raise taxes to ‘a level never seen before,’ according to AP and fact-checkers""  https://t.co/MVjDKzJmwL",22/10/2020 10:06,en,,0,0,,ˑᴶᶤᵍˢᵃʷˑ ☆TPWK 🏳️‍🌈,"Can I hear a wahoo? 😏
♡ Wife of @Vulcantribbles ♡ ☆ Artist, writer, university student, aspiring psychiatrist, certified crisis interventionist ☆ (She/Her)",6917,9348,743,299,3,FALSE,@ThatStrangeCrow
"""Let us not hedge about one thing,"" @bartongellman writes. ""Donald Trump may win or lose, but he will never concede."" Who will stop him from throwing the election into chaos? https://t.co/IGHUzquHmb",22/10/2020 9:50,en,,0,0,,Burnslade,"Every day in every way I try and get better and better.
(love old hippie shit)",12330,18646,4124,2165,2,FALSE,@Burnslade
"""Mr. President, the days of using our faith for your benefit are over,” declares a video from a Christian group Not Our Faith. “We know you need the support of Christians like us to win this election. But you can’t have it. Not our vote. Not our faith.” https://t.co/ubkzLh5pdq",22/10/2020 9:57,en,,91,34,,Bobbie Brinegar,"To the wrongs that need resistance, 
To the right that needs assistance, 
To the future in the distance, 
Give yourselves.
Carrie Chapman Catt",7103,17370,1259,1729,15,FALSE,@CapitalViews_
"""Now we learn that Biden has been playing footsie with China.""😲

FYI: Trump/Ivanka set up shop in Red China years ago.🤔

In fact, Trump recently paid more in taxes to China than the US Treasury.😠

And Xi gave Ivanka pricey trademarks.🤮

Call it even.🤑https://t.co/eRyLPBocZ0",22/10/2020 9:53,en,,0,0,,Don Adams,"Cardinal Dougherty/Penn State Grad; 
Consultant/Screenwriter/Commentator;
Reagan/Romney Pro-life Conservative.
Voted @Evan_McMullin in '16. #PrinciplesFirst.",49436,34624,3959,2398,32,FALSE,@AssemblyRoomUSA
"""One of the things I love about Joe Biden — he doesn’t take on or talk about other people’s kids.”
https://t.co/6W9iDzadPL",22/10/2020 10:01,en,,0,0,,IJR,"Independent Journal Review (IJR). 
Experience the News.",48231,1761,6792,114014,1483,TRUE,@TheIJR
"""Photo of Ice Cube and 50 Cent wearing Trump hats is edited from a July photo""  https://t.co/OJobNT0bZB Republicans are so desperate. They see a #BlueTsunami2020 coming.",22/10/2020 10:02,en,,0,0,,PoliticalAnt🐜(a.k.a. @JazzLuvnAnt🎷)🔥😷🌹🇺🇸,"Progressive Indie. Backup: @JazzLuvnAnt🎷#BlackLivesMatter Please vote #BidenHarris2020🌊 in swing states, & #HawkinsWalker2020 🌻 elsewhere. Thanks, if you do.",446416,129682,9040,15723,445,FALSE,@PoliticalAnt
"""TRUMP CARD A""
is the definition of ""in"" right now. https://t.co/Vjpy90jKd1",22/10/2020 10:00,en,,0,0,,Trendy Phrase Guy,"Now, ""BAD TWEETS"" is what's vital and in tune with the times! | [content is randomly generated and unmoderated and intended for entertainment purposes only]",48322,0,0,3248,20,FALSE,@trendyphraseguy
"""The Biden family aggressively leveraged the Biden family name to make millions of dollars from foreign entities even though some were from communist controlled China.""
Hunter's biz partner confirms e-mail, VP involvement. https://t.co/YijfRFy5ju via @nypost",22/10/2020 10:02,en,,0,0,,S,"PATRIOT! 🇺🇸
Incurable romantic. 
Affinity for #TomCruise
(KMA haters).
Create.
Psalm 46:10.
Sicily. Or is it Florida...",3926,21023,905,895,16,FALSE,@SherDTurn
"""The Relentless Shrinking of Trump’s Base"" by Ford Fessenden and Lazaro Gamio via NYT https://t.co/51PRWLeIAY",22/10/2020 9:52,en,,0,0,,Ambrose Gier,Give me all you got!,44253,0,317,379,14,FALSE,@AmbroseGier
"""The Relentless Shrinking of Trump’s Base"" by Ford Fessenden and Lazaro Gamio via NYT https://t.co/QYT6NEXaQ6",22/10/2020 9:59,en,,0,0,,Amy Wilson,I'd like to teach the world to sing in perfect harmony... or just to sing instead of fight.,30125,2,419,372,14,FALSE,@AmyMWilson88
"""The World's Most Dangerous Man"": Mary Trump on Her Uncle, President Tru... https://t.co/29PrVNUxIM via @YouTube",22/10/2020 10:03,en,,0,0,,Lyn Bender,Psychologist mother grandmother. Care for the community. Wear a mask & practice social distancing. In a health & climate crisis denial is criminal.,122577,8779,4854,5249,158,FALSE,@Lynestel
"""There is no person in America who has done more to spread COVID-19 than Donald Trump, and no one has tried harder to catch it.""  

https://t.co/TNC7QKaC65",22/10/2020 9:58,en,,0,0,,Vikram #BidenHarris2020,,122412,27470,1804,1030,92,FALSE,@virvikram
"""They say Donald Trump has destroyed satire. But Mr. Baron Cohen proves that’s not so.""

https://t.co/bli7sTKNJW",22/10/2020 9:50,en,,1,0,,Satoshi Sugiyama,"Political reporter @japantimes. Proud graduate @NewhouseSU & @dailyorange. Alum @nytimes, @AP & @TB_Times. View = mine. In pursuit of facts.",15594,22505,1890,4552,97,FALSE,@SatoshiJournal
"""To its authors in the Trump administration, the child separation policy was justified in the name of inflicting such emotional trauma on migrant families that further illegal crossing of the southern border would be deterred."" https://t.co/OnyELHodzK",22/10/2020 9:59,en,,0,0,,We The People,US Air Force Veteran TX#24 Register & vote @WhenWeAllVote #GenX #SaveUSPS #FollowTheMoney,38349,21283,2295,1641,13,FALSE,@StacyResists
"""Trump Promised Seniors Drug Discount Cards. They May Be Illegal."" by BY MARGOT SANGER-KATZ AND NOAH WEILAND via NYT https://t.co/OIRaKsYAjf https://t.co/3X2cctC7NE",22/10/2020 9:55,en,,0,0,,Saheb Samrat,One day you'll know who I am 😉,4270,5,59,13,0,FALSE,@SahebSamrat2
"""Trump Promised Seniors Drug Discount Cards. They May Be Illegal."" by BY MARGOT SANGER-KATZ AND NOAH WEILAND via NYT https://t.co/d3FdpmCOko",22/10/2020 9:50,en,,0,0,,Rosa Lue Martines,Es mejor estar callado y parecer un tonto que abrir la boca y despejar cualquier tipo de dudas.,10351,0,4,246,1,FALSE,@RosaLuemartine1
"""Trump and Biden’s Final Debate: What to Watch For"" by Adam Nagourney via NYT #U.S. https://t.co/1YCtbbqY88 https://t.co/ByWdhGlZx2",22/10/2020 10:08,en,,0,0,,Renato Toffanin,Co-founder and Managing Director at @arches_it. Engaged in the reduction of poverty through higher education: https://t.co/CxnCP9XgSV,39476,2034,2069,1524,55,FALSE,@toffanin
"""Trump and Biden’s Final Debate: What to Watch For"" by Adam Nagourney via NYT https://t.co/MVm5N3dRuD",22/10/2020 10:01,en,,0,0,,Brook Porter,"I came, I saw, I twittered.",61309,0,704,847,40,FALSE,@brookpos
"""Trump and Biden’s Final Debate: What to Watch For"" by Adam Nagourney via NYT https://t.co/tslgOcuDt7",22/10/2020 10:09,en,,0,0,,Forest Echter,"I drink too much, i swear too much and i'm spectacularly inappropriate most of the time. Its dry... very dry.",52334,0,662,704,12,FALSE,@forestecw
"""Trump has lied to the country on more than 25,000 occasions, assaulted the rule of law, assailed our institutions, stoked racial animus and has been spectacularly corrupt. He is singularly responsible for one of the great tragedies In American history."" 

https://t.co/TNC7QKaC65",22/10/2020 10:00,en,,0,0,,Vikram #BidenHarris2020,,122412,27470,1804,1030,92,FALSE,@virvikram
"""Trump has made the case against his own election by showing that if even, he... can get an economy to hum and keep the peace on foreign policy, then an old fella like Joe Biden certainly can."" 
【The World Didn't End with Trump - Mark Simon】https://t.co/TTFZOlWiag #蘋果日報",22/10/2020 10:04,en,,0,0,,OncemoreintotheXxxx,"RT = pay attention! LIKE = sympathize (only the tweet concerned, not the profile) BLOCK = Unrelated & unsolicited advertising, unverifiable misinformation.",10489,7065,447,139,0,FALSE,@Riledupforshit
"""Trump’s Cash Crunch Constrains His Campaign at a Critical Juncture"" by BY SHANE GOLDMACHER AND MAGGIE HABERMAN via NYT https://t.co/ZGoLE0vSnv",22/10/2020 9:50,en,,0,0,,Rosa Lue Martines,Es mejor estar callado y parecer un tonto que abrir la boca y despejar cualquier tipo de dudas.,10351,0,4,246,1,FALSE,@RosaLuemartine1
"""Trump’s Cash Crunch Constrains His Campaign at a Critical Juncture"" by BY SHANE GOLDMACHER AND MAGGIE HABERMAN via NYT https://t.co/l59a21DRpm https://t.co/GY8omTaFhz",22/10/2020 9:55,en,,0,0,,Saheb Samrat,One day you'll know who I am 😉,4270,5,59,13,0,FALSE,@SahebSamrat2
"""Tweeting at the television doesn't fix things""

🇺🇸🗳️ Former President @BarackObama blasted President #Trump’s handling of the #coronavirus pandemic in his first in-person campaign pitch for #Biden.

Meanwhile, Trump held a big rally in North Carolina. 

@Alexjourno reports https://t.co/IDXrpda5fm",22/10/2020 9:55,en,,21,10,,FRANCE 24 English,"🌍 The French international news channel live 24/7 from Paris - Follow us for top stories on #business, #politics and #sports - 🔴 Breaking Alerts: @BreakingF24",289541,594,1138,266955,5407,TRUE,@France24_en
"""Voters Prefer Biden Over Trump on Almost All Major Issues, Poll Shows""  https://t.co/IU4DWUAIEj #TrumpOut2020",22/10/2020 10:08,en,,1,0,,PoliticalAnt🐜(a.k.a. @JazzLuvnAnt🎷)🔥😷🌹🇺🇸,"Progressive Indie. Backup: @JazzLuvnAnt🎷#BlackLivesMatter Please vote #BidenHarris2020🌊 in swing states, & #HawkinsWalker2020 🌻 elsewhere. Thanks, if you do.",446416,129682,9040,15723,445,FALSE,@PoliticalAnt
"""We are not telling you how to vote,"" a copy of the letter says. ""We are just telling our tenants what we will do according to the results."" https://t.co/9ep8CX1YfR",22/10/2020 10:10,en,,0,0,,NEWS CENTER Maine,"Headlines and breaking news from NBC affiliate NEWS CENTER Maine in Portland and Bangor, Maine. Start your tweet with #NEWSCENTERmaine to say hi!",198366,5051,3707,117514,1100,TRUE,@newscentermaine
"""Who is going to buy the stock if Biden wins? If they managed to take them out of conservatorship between the election and the inauguration, there's no guarantee the Biden administration wouldn't put them back into conservatorship.""-Stephen Myrow, Beacon Policy Advisor#FNMA#FHLMC",22/10/2020 9:52,en,,0,0,,Robert Morro,Mortgage Banking and Financial Services Executive,18151,86,3537,660,13,FALSE,@bmorro44
"""You will vote for Trump on Election Day or we will come after you,” warned the emails, which by Tuesday night were said to have reached voters in as many as four states, three of them hotly contested swing states in the coming presidential election."" https://t.co/s1UJ1jBFax",22/10/2020 10:02,en,,0,0,,Ann C from Maine,"I work in higher ed and love pop culture,  people watching, hiking & kayaking with my husband, and lively political discussions.",2597,6082,521,120,1,FALSE,@anniemgc
"""arms tucked in ready for the last trump"" in the vernacular has a different meaning to me from that intended - and it's nothing to do with POTUS! https://t.co/hBwQDBk1gf",22/10/2020 10:05,en,,0,0,,Roger Black,I love an Empire Biscuit but wouldn't wear one on my head.,17192,8184,181,184,4,FALSE,@RogerBlack3
"""if it took only the election of Trump for America’s global leadership to collapse,... there must be deeper reasons the system was so fragile to begin with."" A powerful analysis well worth a read from the @TheAtlantic  https://t.co/gR39d51wbb",22/10/2020 9:53,en,,4,1,,Hiski Haukkala,"Kansainvälisen politiikan prosessori/Processor of international politics @TampereUni
Uusi kirja Suuren pelin paluu: https://t.co/KZYClj3woX",8757,4392,1937,5862,72,FALSE,@HiskiHaukkala
"""the former NY mayor and current personal attorney to Donald Trump is seen reaching into his trousers and apparently touching his genitals while reclining on a bed in the presence of the actor playing Borat’s daughter, who is posing as a TV journalist."" https://t.co/Afj9jnbSej https://t.co/oA4JVWmsST",22/10/2020 9:56,en,,0,0,,Shelly Bradley,Mum of three little dragons All in college 2 nurses and 1 loan officer in progress. CCRN taking care of our Covid peeps/Vets  with honor South OC Ca. Hospital.,44328,74054,1065,294,10,FALSE,@Shellydowa
#2HonorableSenators The dirty old dog will not learn knew tricks. I’m hoping the addressees of this hashtag will join with the American people. Trump does not deserve to appoint 3 Justices in 1 term. Trump is the most morally corrupt man to hold the office. McConnel has no honor,22/10/2020 9:50,en,,1,1,,Jack Q Citizen,60 something,11,0,4,1,0,FALSE,@JackSteinbacher
"#Biden SO WHO DO YOU TRUST WITH THE FUTURE OF THE ECONOMY &amp; AMERICA'S SECURITY, JOKE BIDEN THE GUY WHO SUPPORTED JIMMY CARTER &amp; NOW SUPPORTS THE GREEN NEW DEAL? OR THE GUY WHO SUPPORTED REAGAN &amp; BUILT A STRONG ECONOMY BEFORE COVID &amp; WILL BUILD IT BACK AFTER COVID https://t.co/lw6XuAMcsv",22/10/2020 10:11,en,,0,0,,John Silver,,1667,4,5,2,0,FALSE,@Silver3J
"#Biden WHILE WOKE JOKE BIDEN WAS SUPPORTING THE DISASTROUS ADMINISTRATION OF JIMMY CARTER TRUMP WAS SUPPORTING HIS OPPONENT, RONALD REAGAN-47 YEARS IN POLITICS &amp; JOKE BIDEN STILL CAN'T GET IT RIGHT-BIDEN STILL DOESN'T KNOW WHAT HE IS TALKING ABOUT &amp; WOULD WRECK THE ECONOMY https://t.co/kcb5NN3mss",22/10/2020 9:52,en,,0,0,,John Silver,,1667,4,5,2,0,FALSE,@Silver3J
"#Biden to #America after 4 years of #Trump 

“We’re going to be ok! I promise you!”

@JoeBiden @KamalaHarris @realDonaldTrump 

#JoeBidensNeighborhood #JoeBidenKamalaHarris2020 #TrumpChinaBankAccount #TrumpCrimeFamily https://t.co/dLK4QgwHDB",22/10/2020 10:03,en,,2,0,,Conservative Voters Against Trump,We are Ex-Trump supporters that have seen the light and are willing to put America first. It’s either America OR Trump!,2000,385,1634,1603,2,FALSE,@CVAT2020
"#BidenScandals #Corruption
Federal Crimes Uncovered In Biden Hard Drive | Rudy Giuliani | Ep. 78 https://t.co/yfJdQptQYQ via @YouTube",22/10/2020 10:09,en,,0,0,,Robbie Katherine 🇺🇸,"God-Family-Country #2A Limited Government, Fiscal Responsibility, Constitution, Liberty, Free Markets. Member of NRA. #ProudAmerican 🇺🇸 (joined Twitter 2013)",4081,1628,649,182,0,FALSE,@lew_rk
"#Blobama had hoped President Trump would have taken the job, ""seriously.""
Barry- your eight years worth of failures were serious. #FailedLegacy
#ObamaBidenGate 
#obamainphilly",22/10/2020 10:12,en,,0,0,,The BANNED Scale 🇺🇸,"#KAG2020 #TrumpLandslide2020 Christian, father, husband, patriot, conservative. SARCASM.
I do not own the content.",14161,16129,5547,5456,1,FALSE,@VeracityInstit
"#COVID19 will most likely still be with us till 2022 lets hope trump is NOT.

 #VoteBlueToEndThisNightmare https://t.co/FNkfVJDYP8",22/10/2020 10:01,en,,1,1,,#Vote Biden/Harris,"person, woman, man, camera, TV",82219,30447,290,701,6,FALSE,@Concern93672193
#CrookedJoeBiden #CrookedJoe #BigGuy #Treason Bombshell: Biden Insider Claims He Was ‘Recipient of the Email‘ https://t.co/OEadpl9QPo via @BreitbartNews,22/10/2020 9:55,en,,0,0,,POTUSTrumpIsGreat,Re-elect POTUS TRUMP! The greatest POTUS ever!,8558,12439,477,489,2,FALSE,@PotusGreat
"#Cruelty. There is no other word for it. @jeffsessions pushed this, effectively saying #CrueltyIsThePoint. And #Trump encouraged it. #VoteBlueToEndThisNightmare 

Cruelty Was The Plan: Chilling News About The Human Toll Of Trump's Chil... https://t.co/BeN0dWTIoP via @YouTube",22/10/2020 9:58,en,,0,0,,Matthew Newnham,Conversations That Flow best-selling business author https://t.co/HLEoPydU8O; co-founder https://t.co/2Oxh7Gwzam; 800/1500m & XC runner @EdinburghAC,4314,7393,2665,128,1,FALSE,@matthew_newnham
"#DeathSantis  #resignnowDeathSantis. --most horrible governor, trump's puppet https://t.co/S1RSejqD7c",22/10/2020 10:00,en,,0,0,,Vivian Wilson,,1593,9532,260,77,0,FALSE,@VivianW72658108
"#Election2020
#Trump2020
#JOEBIDEN2020
 If we elect Joe Biden we will loose our jobs. We loose our 401k. We will loose our healthcare. We will loose our country.. Don't #vote with your emotions #Vote with your brain.",22/10/2020 9:51,en,,0,0,,🇺🇸VOTE TRUMP🇺🇸 or face economic hardships,Blue collar hard working patriot🇺🇸 conservative🇺🇸gun shot survivor🇺🇸2A supporter 🇺🇸I love God family friends the U.S.A. our Constitution and Trump.,789,231,579,360,0,FALSE,@DerekJ64760026
"#Election2020 | WE'RE TOP TRUMPS!

⚡ PRICE FLASH &gt;

🇺🇸 TRUMP
🇺🇸 15/8
🇺🇸 INDUSTRY TOP PRICE

⤵️",22/10/2020 10:08,en,,0,0,,Star Sports Bookmakers,"Welcome to Star Sports, layers of some of the biggest bets in the industry since '99. Please gamble responsibly. 18+. | 🖥 https://t.co/3Lzx2mLbI2 | ☎️ 08000 521 321",48234,3949,1637,11760,69,FALSE,@StarSports_Bet
"#GOP is all about slashing  millions from Democratic-led cities Trump and Barr have labeled “anarchist jurisdictions”: New York City; Portland, Oregon; Washington, D.C.; and Seattle, Washington. That will cut federal grants for coronavirus relief, newborn screening, etc.
#Trump",22/10/2020 9:50,en,,0,0,,Deborah,"The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge. Stephen Hawking.",7404,5063,207,232,1,FALSE,@DeborahMM123
#Giuliani Thou shalt not ..only goes for Pussies. Trump grabs ‘em!,22/10/2020 9:59,en,,0,0,,oddur trollhattan,As a troll I have an independent opinion about almost anything.,4184,374,52,10,0,FALSE,@OddTroll
#GiulianiCompromised Clear proof that the international peso-network supports Trump!,22/10/2020 10:01,en,,0,0,,oddur trollhattan,As a troll I have an independent opinion about almost anything.,4184,374,52,10,0,FALSE,@OddTroll
"#Google's #antitrust #legal woes far from over if #Biden wins
#lawsuit #Android #smartphones  https://t.co/HcTaAkBTUL",22/10/2020 10:05,en,,0,0,,Gulf-Times,"Daily English Newspaper published by GPPC Doha, Qatar",194237,230,416,44439,648,TRUE,@GulfTimes_QATAR
"#HunterBiden The emails are real, the video footage is real, and Joe Biden hiding is real. Biden needs to answer. NO MORE RUNNING. Trump deal with him at the third debate please. End his pathetic career. https://t.co/mPzyYfthIy",22/10/2020 10:10,en,,1,0,,Nicky Parmar,,74,3,0,3,0,FALSE,@NickyParmar_92
"#JOEBIDEN2020
#JoeBidensNeighborhood
Clip of Biden comforting the son of a Parkland school shooting victim has Americans in tears https://t.co/zJW8vxuExp",22/10/2020 9:57,en,,0,0,,Deborah,"The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge. Stephen Hawking.",7404,5063,207,232,1,FALSE,@DeborahMM123
"#L9News
[Typically, #Ratcliffe's utterly confusing announcement bore the unmistakable stamp of #Trump admin evasiveness &amp; claimed falsely that phoney emails had attacked Trump campaign in order to undermine it. The opposite was true./lea]
https://t.co/S7KEautlsB",22/10/2020 10:11,en,,0,0,,L.E. Alba,"Born to a venerable Louisiana political clan.
Dem.Socialist/Engineer/Writer/Skeptic/Biophile
•Haight-Ashbury refugee•
•Liberté Égalité Fraternité•
•#RedSox🚩",39233,7060,3033,1325,57,FALSE,@Lary9
#LatinosForTrump is an absolute embarrassment and abomination. Family separation by Trump admin is indefensible. Any decent person w/ a conscience sees this. No family deserves the lifetime of psychological pain these policies prompt. https://t.co/yT1CIKkxyV,22/10/2020 10:07,en,,0,0,,MidSammar 👑💐🔥,possibly into it,28266,87871,1479,2971,141,FALSE,@SamSaysFashion
"#MSM is going to 'Hunter Biden' the election same as they did Hil w/'But Her Emails'.

Never forgive them for this that they do. They knew better. They still chose to engage and amplify the same BS they did before. They want the mobster to win. Guess he's too good for clicks.",22/10/2020 10:10,en,,0,0,,Thorman Lungie,"Constitutional patriot, on the right side of history. Not a sociopath president. Not orange. Punster. Artist. Writer...of a sort. Oh, whatta world.",39077,39893,927,710,1,FALSE,@Thorman_Lungie
#MakeADogsDay Vote for Biden and put a rescue dog in the White House! https://t.co/2BCRro0ihN,22/10/2020 9:55,en,,1,0,,Doggirl Marabito,Jackson is a horror story seen through the eyes of a 15 year old white girl ...,44784,54542,4287,2021,16,FALSE,@texasdicks
#MakeADogsDay Vote for Biden and put a rescue dog in the White House! https://t.co/C5gsYbeRnh,22/10/2020 9:57,en,,0,0,,Doggirl Marabito,Jackson is a horror story seen through the eyes of a 15 year old white girl ...,44784,54542,4287,2021,16,FALSE,@texasdicks
#MakeADogsDay Vote for Biden and put a rescue dog in the White House! https://t.co/HPLtGdnUxC,22/10/2020 9:59,en,,1,0,,Doggirl Marabito,Jackson is a horror story seen through the eyes of a 15 year old white girl ...,44784,54542,4287,2021,16,FALSE,@texasdicks
#MakeADogsDay Vote for Biden and put a rescue dog in the White House! https://t.co/QYXL9Kyhce,22/10/2020 9:59,en,,1,0,,Doggirl Marabito,Jackson is a horror story seen through the eyes of a 15 year old white girl ...,44784,54542,4287,2021,16,FALSE,@texasdicks
#MakeADogsDay Vote for Biden and put a rescue dog in the White House! https://t.co/SOZFtxNqyQ,22/10/2020 9:57,en,,1,0,,Doggirl Marabito,Jackson is a horror story seen through the eyes of a 15 year old white girl ...,44784,54542,4287,2021,16,FALSE,@texasdicks
#MakeADogsDay Vote for Biden and put a rescue dog in the White House! https://t.co/VisP6pEFDg,22/10/2020 9:55,en,,0,0,,Doggirl Marabito,Jackson is a horror story seen through the eyes of a 15 year old white girl ...,44784,54542,4287,2021,16,FALSE,@texasdicks
#MakeADogsDay Vote for Biden and put a rescue dog in the White House! https://t.co/YMhaA8UGDf,22/10/2020 9:57,en,,0,0,,Doggirl Marabito,Jackson is a horror story seen through the eyes of a 15 year old white girl ...,44784,54542,4287,2021,16,FALSE,@texasdicks
